PTNUM,DyadID,mth,ECR1,ECR2,ECR3,ECR4,ECR5,ECR6,ECR7,ECR8,ECR9,ECR10,ECR11,ECR12,ECR13,ECR14,ECR15,ECR16,ECR17,ECR18,ECR19,ECR20,ECR21,ECR22,ECR23,ECR24,ECR25,ECR26,ECR27,ECR28,ECR29,ECR30,ECR31,ECR32,ECR33,ECR34,ECR35,ECR36,UsrID
8093,0,12,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,80930
8093,1,0,5,7,6,2,4,3,5,5,1,1,3,3,3,4,7,1,6,4,5,2,2,7,1,5,7,1,7,3,6,1,7,2,7,2,6,2,80931
8093,1,3,2,7,6,4,6,2,2,4,2,2,6,2,3,3,7,1,7,1,7,2,1,1,1,2,7,1,7,1,7,1,7,1,7,2,7,2,80931
8093,1,6,2,6,6,5,6,4,3,7,1,4,7,2,1,2,6,5,7,3,7,1,2,6,1,5,7,1,7,2,6,1,7,3,6,4,6,2,80931
8093,1,9,2,7,7,6,5,5,2,5,1,6,6,7,2,3,7,6,7,6,7,4,1,7,1,5,7,2,7,2,7,1,7,4,6,3,6,2,80931
8093,1,12,1,6,7,4,7,2,2,5,1,3,7,3,1,3,7,1,7,4,7,1,1,7,1,1,7,1,7,1,7,1,7,2,6,1,6,1,80931
8094,0,0,1,4,6,3,7,4,1,2,2,6,6,2,2,2,6,2,2,2,6,2,2,5,1,4,6,2,6,2,6,2,6,1,7,7,7,2,80940
8094,0,3,1,1,7,2,7,2,1,1,1,7,7,1,1,1,7,1,7,1,6,1,1,6,1,1,7,1,7,1,7,1,7,1,7,1,7,1,80940
8094,0,6,1,1,7,1,6,4,1,1,1,4,7,1,1,1,6,1,7,1,7,1,1,1,1,1,7,1,6,1,6,1,7,1,7,1,7,1,80940
8094,0,9,1,3,7,2,6,2,2,2,1,4,6,2,2,2,2,2,6,2,6,2,2,2,2,1,6,2,6,1,2,2,6,1,6,2,6,1,80940
8094,0,12,1,2,6,2,6,1,1,1,2,4,6,2,2,2,2,2,6,1,6,1,2,2,2,2,6,2,6,2,6,2,6,2,6,1,7,1,80940
